text,label,source,dataset,domain,text_lemma,neutral,joy,surprise,sadness,fear,anger,disgust,vader_neg,vader_neu,vader_pos,vader_compound,urgency,authority,doubt,urgency_presence,authority_presence,doubt_presence,authority_to_doubt_ratio,auth_score,urg_score
"human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.",misinformation,cdl,climate_fever,climate,human produce carbon factor climate change simply evidence significant,0.8890339732170105,0.002932117087766528,0.02674727328121662,0.014965045265853405,0.00907820463180542,0.01812572591006756,0.039117660373449326,0.112,0.8,0.088,-0.1531,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
sea level rise is not going to happen.,misinformation,cdl,climate_fever,climate,sea level rise go happen,0.7537672519683838,0.00391073152422905,0.02503226138651371,0.10225039720535278,0.05261848494410515,0.03476375713944435,0.027657058089971542,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,0.0
the rate of warming according to the data is much slower than the models used by the ipcc,misinformation,cdl,climate_fever,climate,rate warming accord data slow model ipcc,0.48588716983795166,0.007791060488671064,0.3965836465358734,0.028526298701763153,0.013228493742644787,0.06025779992341995,0.007725565694272518,0.0,0.914,0.086,0.1531,0.0,0.1,0.4,0,1,1,0.24999937500156252,0.1,0.0
the ­atmospheric residency time of carbon dioxide is five years,misinformation,cdl,climate_fever,climate,­atmospheric residency time carbon dioxide year,0.5678161382675171,0.025921320542693138,0.16457101702690125,0.04327833279967308,0.06846006214618683,0.11925418674945831,0.010698925703763962,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
there isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,misinformation,cdl,climate_fever,climate,empirical evidence claim greenhouse gas cause temperature increase,0.8778768181800842,0.0036895964294672012,0.014913403429090977,0.010274631902575493,0.01141810417175293,0.03884218633174896,0.0429852269589901,0.0,0.874,0.126,0.3182,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
"the ipcc, the intergovernmental panel on climate change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events.",misinformation,cdl,climate_fever,climate,ipcc intergovernmental panel climate change sort voice consensus concede increase extreme weather event,0.8289270997047424,0.05379580333828926,0.011894090101122856,0.06604187935590744,0.004042166285216808,0.02540653385221958,0.009892420843243599,0.068,0.932,0.0,-0.2411,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
"according, again, to the official figures—during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined",misinformation,cdl,climate_fever,climate,accord official figure past 10 year mean global temperature average world temperature slightly decline,0.631759524345398,0.02771868370473385,0.21695655584335327,0.04273465648293495,0.019643360748887062,0.04737263172864914,0.013814598321914673,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
"therefore, co2 levels could not have forced temperatures to rise.",misinformation,cdl,climate_fever,climate,co2 level force temperature rise,0.7223449945449829,0.010302592068910599,0.02755420096218586,0.13066405057907104,0.040740277618169785,0.041766099631786346,0.026627829298377037,0.0,0.784,0.216,0.357,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
sea-level rise is not accelerating.,misinformation,cdl,climate_fever,climate,sea level rise accelerate,0.8789193034172058,0.0032049932051450014,0.05073615163564682,0.016035720705986023,0.019855033606290817,0.018342753872275352,0.012906074523925781,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
the temperature is not rising nearly as fast as the alarmist computer models predicted.,misinformation,cdl,climate_fever,climate,temperature rise nearly fast alarmist computer model predict,0.008664831519126892,0.0022854527924209833,0.0065936921164393425,0.007822887971997261,0.9683425426483154,0.005471795331686735,0.0008187420899048448,0.0,1.0,0.0,0.0,0.2,0.3,0.6,1,1,1,0.49999916666805555,0.3,0.2
the warming is not nearly as great as the climate change computer models have predicted.,misinformation,cdl,climate_fever,climate,warming nearly great climate change computer model predict,0.6244766116142273,0.015605186112225056,0.172811821103096,0.09669901430606842,0.029542457312345505,0.04275086894631386,0.01811405085027218,0.184,0.727,0.089,-0.4007,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
el niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.,misinformation,cdl,climate_fever,climate,el niño drive record high global temperature suggest rise man emission,0.5173237323760986,0.02571028657257557,0.12140386551618576,0.10184979438781738,0.1377570927143097,0.08408466726541519,0.011870596557855606,0.0,1.0,0.0,0.0,0.2,0.3,0.7,1,1,1,0.42857081632740524,0.3,0.2
increased atmospheric carbon dioxide has helped raise global food production and reduce poverty.,misinformation,cdl,climate_fever,climate,increase atmospheric carbon dioxide help raise global food production reduce poverty,0.5595105290412903,0.08313853293657303,0.012294513173401356,0.2077827900648117,0.014636109583079815,0.03187895193696022,0.09075850993394852,0.201,0.671,0.128,-0.296,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
preventing future pandemics requires more not less “industrial” agriculture,misinformation,cdl,climate_fever,climate,prevent future pandemic require industrial agriculture,0.8780814409255981,0.008282292634248734,0.01955673284828663,0.012170153670012951,0.02753453515470028,0.027889434248209,0.026485372334718704,0.121,0.879,0.0,-0.0258,0.2,0.1,0.4,1,1,1,0.24999937500156252,0.1,0.2
"if there were [carbon emissions], we could not see because most carbon is black.",misinformation,cdl,climate_fever,climate,carbon emission carbon black,0.6988977789878845,0.003552665002644062,0.0733044445514679,0.02552034519612789,0.010933982208371162,0.025822563096880913,0.1619681566953659,0.0,1.0,0.0,0.0,0.2,0.0,0.6,1,0,1,0.0,0.0,0.2
it has never been shown that human emissions of carbon dioxide drive global warming.,misinformation,cdl,climate_fever,climate,show human emission carbon dioxide drive global warming,0.4197028577327728,0.01153053529560566,0.048942215740680695,0.11017117649316788,0.10345406085252762,0.23212459683418274,0.07407453656196594,0.0,0.89,0.11,0.1531,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
"in the past, warming has never been a threat to life on earth.",misinformation,cdl,climate_fever,climate,past warming threat life earth,0.1641145646572113,0.0037946247030049562,0.005466081202030182,0.017996305599808693,0.7583711743354797,0.03306183964014053,0.017195377498865128,0.0,0.715,0.285,0.5229,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
"in our lifetime, there has been no correlation between carbon dioxide emissions and temperature",misinformation,cdl,climate_fever,climate,lifetime correlation carbon dioxide emission temperature,0.8946861028671265,0.0027456104289740324,0.05591254681348801,0.011970235034823418,0.004400849342346191,0.01315218023955822,0.017132587730884552,0.145,0.855,0.0,-0.296,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
each of the six major past ice ages began when the atmospheric carbon dioxide content was far higher than at present.,misinformation,cdl,climate_fever,climate,major past ice age begin atmospheric carbon dioxide content far high present,0.6419425010681152,0.011024683713912964,0.08604244142770767,0.030543677508831024,0.051696546375751495,0.0914110392332077,0.08733909577131271,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
however the warming trend is slower than most climate models have forecast,misinformation,cdl,climate_fever,climate,warming trend slow climate model forecast,0.6769353747367859,0.015228023752570152,0.11942297965288162,0.057600729167461395,0.031931694597005844,0.07434433698654175,0.024536902084946632,0.0,0.873,0.127,0.1531,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
"at the end of recent ice ages, the concentration of carbon dioxide in the atmosphere started to rise only after temperatures began to climb.",misinformation,cdl,climate_fever,climate,end recent ice age concentration carbon dioxide atmosphere start rise temperature begin climb,0.4685960114002228,0.009585822932422161,0.11774105578660965,0.02425132319331169,0.10991527885198593,0.15319354832172394,0.11671695858240128,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
"some scientists believe that solar activity is more likely to influence today’s climate than carbon dioxide, and dr soon has compiled data showing temperature in america, canada and mexico rises and falls in line with solar activity.",misinformation,cdl,climate_fever,climate,scientist believe solar activity likely influence today climate carbon dioxide dr soon compile datum show temperature america canada mexico rise fall line solar activity,0.8796318173408508,0.016919495537877083,0.07336755096912384,0.009171267040073872,0.004816574975848198,0.012998937629163265,0.003094314131885767,0.0,1.0,0.0,0.0,0.2,0.3,0.7,1,1,1,0.42857081632740524,0.3,0.2
the figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed.,misinformation,cdl,climate_fever,climate,figure traditionally cite suggest 97 cent climate scientist agree global warming man find flaw,0.8130283951759338,0.031120264902710915,0.03527219593524933,0.03854918107390404,0.010986454784870148,0.0490741953253746,0.02196933701634407,0.11,0.745,0.145,-0.0,0.0,0.0,0.4,0,0,1,0.0,0.0,0.0
"climate skeptics argue temperature records have been adjusted in recent years to make the past appear cooler and the present warmer, although the carbon brief showed that noaa has actually made the past warmer, evening out the difference.",misinformation,cdl,climate_fever,climate,climate skeptic argue temperature record adjust recent year past appear cool present warmer carbon brief show noaa actually past warmer evening difference,0.852120041847229,0.005452789831906557,0.033860646188259125,0.02335447445511818,0.012988700531423092,0.04664911702275276,0.025574171915650368,0.09,0.806,0.104,0.1531,0.2,0.1,0.7,1,1,1,0.14285693877580177,0.1,0.2
only very few peer-reviewed papers even go so far as to say that recent warming is chiefly anthropogenic.,misinformation,cdl,climate_fever,climate,peer review paper far recent warming chiefly anthropogenic,0.8844767808914185,0.005023282021284103,0.04551469907164574,0.013585983775556087,0.006981436163187027,0.017367355525493622,0.027050426229834557,0.0,0.914,0.086,0.1531,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
there is no statistical evidence that global warming is intensifying[…] droughts,misinformation,cdl,climate_fever,climate,statistical evidence global warming intensify drought,0.36141151189804077,0.010251414962112904,0.061582524329423904,0.16494899988174438,0.19276882708072662,0.13788658380508423,0.07115014642477036,0.172,0.703,0.125,-0.1531,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
"there has been no systematic increase in the frequency of extreme weather events,",misinformation,cdl,climate_fever,climate,systematic increase frequency extreme weather event,0.8666877150535583,0.003884407691657543,0.05174703150987625,0.01854824274778366,0.030537161976099014,0.020012835040688515,0.008582557551562786,0.275,0.725,0.0,-0.4874,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
"globally there’s no clear evidence of trends and patterns in extreme events such as droughts, hurricanes and floods.",misinformation,cdl,climate_fever,climate,globally clear evidence trend pattern extreme event drought hurricane flood,0.7449693083763123,0.005022168625146151,0.031626924872398376,0.05657755956053734,0.09476525336503983,0.02872168831527233,0.03831701725721359,0.114,0.886,0.0,-0.2924,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
there’s no trend in hurricane-related flooding in the u.s.,misinformation,cdl,climate_fever,climate,trend hurricane relate flooding u.s,0.8760652542114258,0.003321058116853237,0.04801269993185997,0.02910498157143593,0.019836949184536934,0.010756314732134342,0.012902697548270226,0.216,0.784,0.0,-0.296,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
nor is there evidence of an increase in floods globally.,misinformation,cdl,climate_fever,climate,evidence increase flood globally,0.7534905076026917,0.003200836479663849,0.086335189640522,0.027035290375351906,0.0782645046710968,0.02455536648631096,0.02711838111281395,0.0,0.796,0.204,0.3182,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
"since 1965, more parts of the u.s. have seen a decrease in flooding than have seen an increase.",misinformation,cdl,climate_fever,climate,1965 part u.s see decrease flooding see increase,0.8356205821037292,0.016697626560926437,0.044530339539051056,0.05744551867246628,0.01568119041621685,0.02040950581431389,0.009615182876586914,0.0,0.881,0.119,0.3182,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
the bottom line is there’s no solid connection between climate change and the major indicators of extreme weather,misinformation,cdl,climate_fever,climate,line solid connection climate change major indicator extreme weather,0.895569920539856,0.0015583656495437026,0.02069685608148575,0.037954073399305344,0.013032284565269947,0.013114746659994125,0.018073707818984985,0.078,0.922,0.0,-0.1139,0.0,0.0,0.4,0,0,1,0.0,0.0,0.0
"if we halve the carbon dioxide content of the atmosphere, all life dies.",misinformation,cdl,climate_fever,climate,halve carbon dioxide content atmosphere life die,0.3009093701839447,0.008623959496617317,0.017170852050185204,0.37533342838287354,0.021673934534192085,0.11781938374042511,0.15846912562847137,0.0,1.0,0.0,0.0,0.8,0.0,0.5,1,0,1,0.0,0.0,0.8
the amount of energy used to construct solar and wind facilities is greater than they produce in their working lives.,misinformation,cdl,climate_fever,climate,energy construct solar wind facility great produce work life,0.580925703048706,0.05662893131375313,0.1463245004415512,0.0737263485789299,0.00635511614382267,0.10100927203893661,0.03503012657165527,0.0,0.796,0.204,0.5574,0.8,0.0,0.5,1,0,1,0.0,0.0,0.8
"“as soon as renewables were introduced into the grid, electric­ity prices increased and delivery became unreliable.",misinformation,cdl,climate_fever,climate,soon renewable introduce grid electric­ity price increase delivery unreliable,0.11573269963264465,0.003426244016736746,0.020078465342521667,0.2145291566848755,0.25951001048088074,0.16044682264328003,0.22627660632133484,0.0,0.877,0.123,0.2732,0.3,0.1,0.2,1,1,1,0.49999750001249993,0.1,0.3
"renew­ables such as wind turbines are environmentally disastrous because they pollute a huge land area, slice and dice birds and bats, kill insects that are bird food, create health problems for humans who live within kilometres of them, leave toxins around the turbine site and despoil the landscape.",misinformation,cdl,climate_fever,climate,renew­able wind turbine environmentally disastrous pollute huge land area slice dice bird bat kill insect bird food create health problem human live kilometre leave toxin turbine site despoil landscape,0.02106158249080181,0.002341845538467169,0.002685838146135211,0.03908536955714226,0.05369853228330612,0.10024211555719376,0.7808848023414612,0.258,0.67,0.072,-0.9081,0.8,0.0,0.5,1,0,1,0.0,0.0,0.8
"there were no ice sheets covering either greenland or west antarctica, and much of the east antarctic ice sheet was gone.",misinformation,cdl,climate_fever,climate,ice sheet cover greenland west antarctica east antarctic ice sheet go,0.40592050552368164,0.007928933016955853,0.09683124721050262,0.35816362500190735,0.024352408945560455,0.04701679199934006,0.05978647992014885,0.099,0.901,0.0,-0.296,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
a study that totally debunks the whole concept of man-made global warming,misinformation,cdl,climate_fever,climate,study totally debunk concept man global warming,0.05492013320326805,0.0050093973986804485,0.5198148488998413,0.017204120755195618,0.021775545552372932,0.19846461713314056,0.18281137943267822,0.0,0.873,0.127,0.1531,0.8,0.0,0.5,1,0,1,0.0,0.0,0.8
the idea that climate change is producing heat records across the earth is among the most egregious manipulations of data in the absurd global warming debate.,misinformation,cdl,climate_fever,climate,idea climate change produce heat record earth egregious manipulation datum absurd global warming debate,0.004937371239066124,0.0006010981160216033,0.0020003202371299267,0.004099464975297451,0.005188895855098963,0.25958240032196045,0.7235903739929199,0.0,0.94,0.06,0.1531,0.8,0.0,0.5,1,0,1,0.0,0.0,0.8
actual weather records over the past 100 years show no correlation between rising carbon dioxide levels and local temperatures.,misinformation,cdl,climate_fever,climate,actual weather record past 100 year correlation rise carbon dioxide level local temperature,0.8724520206451416,0.003266440238803625,0.026661809533834457,0.023056523874402046,0.0063887531869113445,0.042142897844314575,0.026031523942947388,0.109,0.891,0.0,-0.296,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
there is no empirical evidence that increasing greenhouse gases are the primary cause of global warming,misinformation,cdl,climate_fever,climate,empirical evidence increase greenhouse gas primary cause global warming,0.567558765411377,0.009499822743237019,0.027915986254811287,0.0951424241065979,0.09385421872138977,0.13407213985919952,0.07195660471916199,0.124,0.787,0.09,-0.1531,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
"“today climate scientists are obsessed with the level of carbon dioxide in the atmosphere, a very very small part of the overall picture.",misinformation,cdl,climate_fever,climate,today climate scientist obsess level carbon dioxide atmosphere small overall picture,0.7407239079475403,0.004329674411565065,0.04271482676267624,0.01869753748178482,0.051426973193883896,0.05241778865456581,0.08968932926654816,0.072,0.928,0.0,-0.1779,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
if we double atmospheric carbon dioxide[…] we’d only raise global surface temperatures by about a degree celsius.,misinformation,cdl,climate_fever,climate,double atmospheric carbon dioxide raise global surface temperature degree celsius,0.8338462710380554,0.005165760405361652,0.032455287873744965,0.013133803382515907,0.012371616438031197,0.06462302058935165,0.03840417042374611,0.0,1.0,0.0,0.0,0.2,0.0,0.3,1,0,1,0.0,0.0,0.2
"“so the bottom line of all this is that climate change is natural, not man-made.",misinformation,cdl,climate_fever,climate,line climate change natural man,0.9220814108848572,0.006161156576126814,0.0182691290974617,0.008797172456979752,0.010923504829406738,0.017622092738747597,0.016145547851920128,0.0,0.848,0.152,0.3612,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
man-made greenhouse gases play only an insignificant role.”,misinformation,cdl,climate_fever,climate,man greenhouse gas play insignificant role,0.8467825055122375,0.0034745519515126944,0.012215065769851208,0.01583745703101158,0.009284378960728645,0.0325322188436985,0.07987378537654877,0.222,0.556,0.222,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
climate scientists are telling us it’s likely we’re going to be in for a period of cooling.,misinformation,cdl,climate_fever,climate,climate scientist tell likely go period cool,0.9133703708648682,0.007196217309683561,0.022354787215590477,0.024141065776348114,0.01000163983553648,0.012323609553277493,0.010612360201776028,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
the 30 most costly hurricanes in u.s. history (according to federal data from january) show no increase in intensity over time.,misinformation,cdl,climate_fever,climate,30 costly hurricane u.s history accord federal datum january increase intensity time,0.3551739752292633,0.012746036052703857,0.31016817688941956,0.22806809842586517,0.017245115712285042,0.07076535373926163,0.005833265371620655,0.161,0.839,0.0,-0.3929,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
water vapour has been the main greenhouse gas and carbon dioxide has had a minuscule effect on global climate,misinformation,cdl,climate_fever,climate,water vapour main greenhouse gas carbon dioxide minuscule effect global climate,0.5645771622657776,0.0040632677264511585,0.013968098908662796,0.02944166772067547,0.020942633971571922,0.087726891040802,0.2792802155017853,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
"their ecs estimate is 1.5 degrees, with a probability range between 1.05 and 2.45 degrees.",misinformation,cdl,climate_fever,climate,ec estimate 1.5 degree probability range 1.05 2.45 degree,0.946878969669342,0.006491637323051691,0.032725706696510315,0.005118537228554487,0.0026299243327230215,0.004085555672645569,0.002069720532745123,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
"if ecs is as low as the energy balance literature suggests, it means that the climate models we have been using for decades run too hot and need to be revised.",misinformation,cdl,climate_fever,climate,ec low energy balance literature suggest mean climate model decade run hot need revise,0.7268518805503845,0.0037452238611876965,0.020877359434962273,0.12914538383483887,0.013645574450492859,0.0820770263671875,0.023657532408833504,0.063,0.873,0.063,0.0,0.2,0.0,0.7,1,0,1,0.0,0.0,0.2
"i note particularly that sea-level rise is not affected by the warming; it continues at the same rate, 1.8 millimeters a year, according to a 1990 review by andrew s. trupin and john wahr.",misinformation,cdl,climate_fever,climate,note particularly sea level rise affect warming continue rate 1.8 millimeter year accord 1990 review andrew s. trupin john wahr,0.20758232474327087,0.2778812348842621,0.3375093638896942,0.11452003568410873,0.02316049113869667,0.03698517754673958,0.00236134952865541,0.0,0.913,0.087,0.2603,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
"currently, sea-level rise does not seem to depend on ocean temperature, and certainly not on co2.",misinformation,cdl,climate_fever,climate,currently sea level rise depend ocean temperature certainly co2,0.9178464412689209,0.0026798266917467117,0.02070021443068981,0.018633024767041206,0.009316577576100826,0.015589971095323563,0.015233994461596012,0.0,0.862,0.138,0.34,0.0,0.0,0.4,0,0,1,0.0,0.0,0.0
"while it’s true that studies in some regions show polar bears are lighter in weight than they were in the 1980s, there is no evidence that more individuals are starving to death or becoming too thin to reproduce because of less summer ice.",misinformation,cdl,climate_fever,climate,true study region polar bear light weight 1980 evidence individual starve death thin reproduce summer ice,0.6715928912162781,0.006815251428633928,0.013927354477345943,0.1271483302116394,0.019161095842719078,0.026780668646097183,0.13457445800304413,0.18,0.765,0.055,-0.7479,0.0,0.0,0.3,0,0,1,0.0,0.0,0.0
"a recent study led by lawrence livermore national laboratory climate scientist ben santer found that while the models ran hot, the ‘overestimation’ was ‘partly due to systematic deficiencies in some of the post-2000 external forcings used in the model simulations.’",misinformation,cdl,climate_fever,climate,recent study lead lawrence livermore national laboratory climate scientist ben santer find model run hot overestimation partly systematic deficiency post-2000 external forcing model simulation,0.3282603919506073,0.05191453546285629,0.11670222133398056,0.19838105142116547,0.059553809463977814,0.17979303002357483,0.06539494544267654,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
global human emissions are only 3 per cent of total annual emissions.,misinformation,cdl,climate_fever,climate,global human emission 3 cent total annual emission,0.8629646301269531,0.005082469899207354,0.020653072744607925,0.042934954166412354,0.00753371138125658,0.025164160877466202,0.03566707298159599,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
the human contribution can be up to 30 percent or so of the total rainfall coming out of the storm,misinformation,cdl,climate_fever,climate,human contribution 30 percent total rainfall come storm,0.8887620568275452,0.00839399453252554,0.05550828203558922,0.016923556104302406,0.004807257559150457,0.019351612776517868,0.006253131665289402,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
“carbon dioxide hurts nobody’s health.,misinformation,cdl,climate_fever,climate,carbon dioxide hurt health,0.12787018716335297,0.00586305046454072,0.004253299906849861,0.12591618299484253,0.01879505254328251,0.28401443362236023,0.43328770995140076,0.437,0.563,0.0,-0.4767,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
climate change need not endanger anyone”,misinformation,cdl,climate_fever,climate,climate change need endanger,0.22665561735630035,0.004862820729613304,0.006900607608258724,0.05949438363313675,0.2816351652145386,0.35140112042427063,0.06905025243759155,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
"none of these places, which today supply much of the world’s food, will be reliable sources of any.",misinformation,cdl,climate_fever,climate,place today supply world food reliable source,0.8429927229881287,0.006259024143218994,0.054340168833732605,0.049421824514865875,0.004486244637519121,0.01561816781759262,0.02688179910182953,0.0,1.0,0.0,0.0,0.2,0.1,0.4,1,1,1,0.24999937500156252,0.1,0.2
the mild warming of around 0.8 degrees celsius that the planet has experienced since the middle of the 19th century,misinformation,cdl,climate_fever,climate,mild warming 0.8 degree celsius planet experience middle 19th century,0.6853693127632141,0.030790219083428383,0.12998780608177185,0.03543943166732788,0.03241293877363205,0.07346948236227036,0.012530789710581303,0.0,0.922,0.078,0.1531,0.0,0.0,0.4,0,0,1,0.0,0.0,0.0
“several of the papers note that the primary influence on warming appears to be solar activity.,misinformation,cdl,climate_fever,climate,paper note primary influence warming appear solar activity,0.8279804587364197,0.007023009005934,0.09109346568584442,0.02056008204817772,0.008873675018548965,0.013647262938320637,0.030822033062577248,0.0,0.904,0.096,0.1531,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
"despite recent attempts to paint the united states as a major global polluter, according to the world health organization (who), the u.s. is among the cleanest nations on the planet.",misinformation,cdl,climate_fever,climate,despite recent attempt paint united states major global polluter accord world health organization u.s clean nation planet,0.7213042378425598,0.07802282273769379,0.09046585857868195,0.01080708485096693,0.0023500004317611456,0.013355243019759655,0.08369474112987518,0.091,0.826,0.083,-0.0717,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
the report […] found that the united states was one of the most pollution-free nations in the world.”,misinformation,cdl,climate_fever,climate,report find united states pollution free nation world,0.4050554633140564,0.37384387850761414,0.06582754850387573,0.031663358211517334,0.009843338280916214,0.034365586936473846,0.07940074056386948,0.0,0.859,0.141,0.4215,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
