text,label,domain,source,dataset,text_lemma,neutral,disgust,anger,surprise,sadness,fear,joy,vader_neg,vader_neu,vader_pos,vader_compound,urgency,authority,doubt,urgency_presence,authority_presence,doubt_presence,authority_to_doubt_ratio,urg_score,auth_score
"a video shows a chaotic scene in wuhan, china, involving doctors armed with weapons, gunshots to deter people from leaving a new coronavirus quarantine, and a woman who was shot dead after she attempted to break through a roadblock",misinformation,covid,cdl,covid_19_rumor,video show chaotic scene wuhan china involve doctor arm weapon gunshot deter people leave new coronavirus quarantine woman shoot dead attempt break roadblock,0.0017109349137172,0.0071819722652435,0.6405152082443237,0.019962403923273,0.0100971022620797,0.3123592436313629,0.008173082023859,0.224,0.776,0.0,-0.886,0.4,0.2,0.3,1,1,1,0.6666644444518519,0.4,0.2
donald trump owned stock in thermo-fisher scientific at a time when his presidential administration was advocating for a covid-19 test that uses thermo-fisher equipment,misinformation,covid,cdl,covid_19_rumor,donald trump own stock thermo fisher scientific time presidential administration advocate covid-19 test use thermo fisher equipment,0.6021495461463928,0.084409661591053,0.1473464220762252,0.049057625234127,0.0182000249624252,0.0794846639037132,0.0193520989269018,0.0,1.0,0.0,0.0,0.2,0.0,0.4,1,0,1,0.0,0.2,0.0
"if you get sick with coronavirus, donald trump can make you stay home",misinformation,covid,cdl,covid_19_rumor,sick coronavirus donald trump stay home,0.3618738651275635,0.0188776645809412,0.0184595081955194,0.0102464910596609,0.3448886275291443,0.2381448894739151,0.0075088930316269,0.216,0.784,0.0,-0.5106,0.8,0.0,0.5,1,0,1,0.0,0.8,0.0
a chinese intelligence officer revealed that a new coronavirus was developed in a lab as a bioweapon,misinformation,covid,cdl,covid_19_rumor,chinese intelligence officer reveal new coronavirus develop lab bioweapon,0.2195085287094116,0.0250441562384367,0.0548592656850814,0.5515995025634766,0.0110900644212961,0.019804660230875,0.118093803524971,0.0,0.838,0.162,0.4767,0.4,0.9,0.6,1,1,1,1.4999975000041668,0.4,0.9
"a major disease outbreak occurred in ""every election year"" since 2004",misinformation,covid,cdl,covid_19_rumor,major disease outbreak occur election year 2004,0.0630259439349174,0.0056190337054431,0.0627323687076568,0.1229805946350097,0.0499879233539104,0.6878142952919006,0.0078398259356617,0.0,1.0,0.0,0.0,0.2,0.0,0.4,1,0,1,0.0,0.2,0.0
"the fictional ""umbrella corporation"" from the game ""resident evil"" shares a logo with a biotech lab in wuhan, hubei province in china, where a new coronavirus is believed to have originated",misinformation,covid,cdl,covid_19_rumor,fictional umbrella corporation game resident evil share logo biotech lab wuhan hubei province china new coronavirus believe originate,0.8635972738265991,0.0319639034569263,0.0137558709830045,0.0556991808116436,0.0087781278416514,0.016122980043292,0.0100826472043991,0.124,0.815,0.062,-0.4939,0.8,0.0,0.3,1,0,1,0.0,0.8,0.0
a traveler from beijing was caught at dulles international airport with a suitcase full of dead birds that the person tried to disguise as pet food,misinformation,covid,cdl,covid_19_rumor,traveler beijing catch dulles international airport suitcase dead bird person try disguise pet food,0.0100341029465198,0.3197427988052368,0.3149910569190979,0.1630896478891372,0.0496760420501232,0.139227882027626,0.0032383515499532,0.208,0.792,0.0,-0.743,0.4,0.0,0.3,1,0,1,0.0,0.4,0.0
a nostradamus prophecy foretells the 2020 covid-19 coronavirus disease pandemic,misinformation,covid,cdl,covid_19_rumor,nostradamus prophecy foretell 2020 covid-19 coronavirus disease pandemic,0.0196917653083801,0.0015474533429369,0.0167596042156219,0.0233532842248678,0.0201332587748765,0.906015694141388,0.0124989142641425,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0,0,1,0.0,0.0,0.0
"self-described psychic sylvia browne ""predicted"" a 2020 outbreak of the new coronavirus",misinformation,covid,cdl,covid_19_rumor,self describe psychic sylvia browne predict 2020 outbreak new coronavirus,0.3350422978401184,0.0124121727421879,0.0141647346317768,0.0410773120820522,0.0190286487340927,0.5714913606643677,0.0067834695801138,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
"""the simpsons"" tv show predicted the 2020 new coronavirus outbreak in a 1993 episode",misinformation,covid,cdl,covid_19_rumor,simpson tv predict 2020 new coronavirus outbreak 1993 episode,0.5889822244644165,0.0326480157673358,0.0421762913465499,0.0973912477493286,0.0343149490654468,0.1699299067258834,0.0345573239028453,0.0,1.0,0.0,0.0,0.2,0.1,0.7,1,1,1,0.1428569387758017,0.2,0.1
"the ability to differentiate the “common cold” from “coronavirus pneumonia”, interpreted here as covid-19 is based on the presence or absence of mucus or phlegm, which is also known as sputum, during coughing",misinformation,covid,cdl,covid_19_rumor,ability differentiate common cold coronavirus pneumonia interpret covid-19 base presence absence mucus phlegm know sputum cough,0.4539600908756256,0.4145026504993438,0.0224050693213939,0.0321446359157562,0.0235378239303827,0.0501836836338043,0.0032660150900483,0.0,0.933,0.067,0.3182,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
coronaviruses will die at the first exposure to sun,misinformation,covid,cdl,covid_19_rumor,coronaviruse die exposure sun,0.1478331536054611,0.0382091328501701,0.0154121536761522,0.024669736623764,0.6740449070930481,0.0962154790759086,0.0036154314875602,0.328,0.672,0.0,-0.5994,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
ingestion of cold drinks and food can cause or exacerbate health conditions such as urti,misinformation,covid,cdl,covid_19_rumor,ingestion cold drink food cause exacerbate health condition urti,0.1268965154886245,0.1477160304784774,0.1950477212667465,0.0087390905246138,0.4684372246265411,0.0455608963966369,0.0076025146991014,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
sales of corona beer dropped sharply in early 2020 because consumers mistakenly associated the brand name with the new coronavirus,misinformation,covid,cdl,covid_19_rumor,sale corona beer drop sharply early 2020 consumer mistakenly associate brand new coronavirus,0.4663085341453552,0.0099314842373132,0.0738636702299118,0.2542530298233032,0.1671294420957565,0.0210119299590587,0.0075019039213657,0.104,0.896,0.0,-0.296,0.0,0.0,0.3,0,0,1,0.0,0.0,0.0
you can get the coronavirus by drinking corona beer,misinformation,covid,cdl,covid_19_rumor,coronavirus drink corona beer,0.8895705938339233,0.0324322693049907,0.0125416060909628,0.0077478364109992,0.0243765749037265,0.0115897236391901,0.0217413250356912,0.0,1.0,0.0,0.0,0.8,0.0,0.5,1,0,1,0.0,0.8,0.0
u.s. vice president mike pence introduced a program to cure new coronavirus carriers with the discredited practice of conversion therapy,misinformation,covid,cdl,covid_19_rumor,u.s vice president mike pence introduce program cure new coronavirus carrier discredit practice conversion therapy,0.7226969003677368,0.0776143744587898,0.0256176609545946,0.0439019948244094,0.085186667740345,0.0292816199362278,0.0157007593661546,0.132,0.868,0.0,-0.4404,0.8,0.0,0.2,1,0,1,0.0,0.8,0.0
"u.s. vice president mike pence believes turn gay people straight, pence claimed “no-one is born with coronavirus, so the key is making them hate everything about themselves. then and only then will they reject their unhealthy attachment to this so-called respiratory virus.”",misinformation,covid,cdl,covid_19_rumor,u.s vice president mike pence believe turn gay people straight penny claim bear coronavirus key make hate reject unhealthy attachment call respiratory virus,0.3400453329086303,0.0580770410597324,0.5663174390792847,0.0057210181839764,0.0124812573194503,0.0120777655392885,0.0052801612764596,0.193,0.727,0.081,-0.7717,0.9,0.2,1.0,1,1,1,0.1999998000002,0.9,0.2
"in february 2020 the vatican said that pope francis and two aides had tested positive for covid-19, a disease caused by a new coronavirus",misinformation,covid,cdl,covid_19_rumor,february 2020 vatican say pope francis aide test positive covid-19 disease cause new coronavirus,0.0286157429218292,0.0048431158065795,0.104309506714344,0.0596172101795673,0.6042054295539856,0.1729598641395568,0.0254490915685892,0.0,0.865,0.135,0.5574,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
sticking a blow dryer in your face or sitting in a sauna and breathing in hot air would kill the coronavirus,misinformation,covid,cdl,covid_19_rumor,stick blow dryer face sit sauna breathing hot air kill coronavirus,0.0205063167959451,0.274747222661972,0.5901867151260376,0.0096636656671762,0.0267152059823274,0.0762204453349113,0.001960463123396,0.19,0.81,0.0,-0.6908,0.4,0.0,0.6,1,0,1,0.0,0.4,0.0
medical professionals and institutions recommend people breathe hot air to kill the coronavirus,misinformation,covid,cdl,covid_19_rumor,medical professional institution recommend people breathe hot air kill coronavirus,0.479600727558136,0.1429792493581771,0.1226473078131675,0.0112435305491089,0.058313138782978,0.1801308691501617,0.0050852540880441,0.258,0.604,0.137,-0.4939,0.8,0.0,0.5,1,0,1,0.0,0.8,0.0
"an msnbc reporter said on air: ""i hope enough people die from coronavirus that it harms trump's reelection.""",misinformation,covid,cdl,covid_19_rumor,msnbc reporter say air hope people die coronavirus harm trump reelection,0.4185063242912292,0.0163169242441654,0.0445309914648532,0.0185787305235862,0.300748199224472,0.112125776708126,0.0891930311918258,0.284,0.6,0.116,-0.6369,1.0,0.0,1.0,1,0,1,0.0,1.0,0.0
rapper eminem was the first celebrity to be diagnosed with new coronavirus in february 2020,misinformation,covid,cdl,covid_19_rumor,rapper eminem celebrity diagnose new coronavirus february 2020,0.4612400531768799,0.0033785325940698,0.0096593825146555,0.2718346714973449,0.0226110573858022,0.0656160339713096,0.1656602174043655,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0,0,1,0.0,0.0,0.0
"bbc news reported that actor daniel radcliffe was the ""first famous person"" to contract the coronavirus",misinformation,covid,cdl,covid_19_rumor,bbc news report actor daniel radcliffe famous person contract coronavirus,0.1861153542995453,0.0021009198389947,0.0103492932394146,0.3086296916007995,0.0085068186745047,0.0163262318819761,0.4679717123508453,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0.0,0.0,0.0
covid-19 is same as flu,misinformation,covid,cdl,covid_19_rumor,covid-19 flu,0.7598121762275696,0.0130059514194726,0.0348006710410118,0.0868194177746772,0.0577383115887641,0.0386189483106136,0.0092045832425355,0.394,0.606,0.0,-0.3818,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
drinking boiled water will prevent coronavirus,misinformation,covid,cdl,covid_19_rumor,drink boil water prevent coronavirus,0.742802083492279,0.0777556151151657,0.0480475798249244,0.0058578047901391,0.0670358091592788,0.0342229306697845,0.0242782477289438,0.0,0.82,0.18,0.0258,0.8,0.0,0.2,1,0,1,0.0,0.8,0.0
"eating oranges, broccoli and potatoes as much as possible can cure covid-19",misinformation,covid,cdl,covid_19_rumor,eat orange broccoli potato possible cure covid-19,0.816945493221283,0.0219970326870679,0.0115939574316143,0.010761541314423,0.0165144819766283,0.0026949534658342,0.1194925680756568,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,0.0
drinking vodka can bfight the coronavirus,misinformation,covid,cdl,covid_19_rumor,drinking vodka bfight coronavirus,0.4031207263469696,0.1339704841375351,0.1890655010938644,0.0113140968605875,0.1410834491252899,0.1041307374835014,0.017314976081252,0.0,1.0,0.0,0.0,0.2,0.4,0.7,1,1,1,0.5714277551032071,0.2,0.4
"pet cats and dogs cannot pass the new coronavirus on to humans, but they can test positive for low levels of the pathogen if they catch it from their owners",misinformation,covid,cdl,covid_19_rumor,pet cat dog pass new coronavirus human test positive low level pathogen catch owner,0.9454571008682252,0.0220806244760751,0.009868293069303,0.0045633022673428,0.006846138741821,0.0081216990947723,0.0030627886299043,0.075,0.788,0.138,0.5023,0.1,0.0,0.4,1,0,1,0.0,0.1,0.0
there is a national lockdown and the entire country will be quarantined for two weeks,misinformation,covid,cdl,covid_19_rumor,national lockdown entire country quarantine week,0.0853834524750709,0.0026092783082276,0.0278221853077411,0.0110414754599332,0.1184559091925621,0.7499783635139465,0.0047093336470425,0.0,1.0,0.0,0.0,1.0,0.0,0.2,1,0,1,0.0,1.0,0.0
fema has deployed military assets,misinformation,covid,cdl,covid_19_rumor,fema deploy military asset,0.8099413514137268,0.0117796100676059,0.0266273152083158,0.0480667985975742,0.0688800737261772,0.0117240101099014,0.0229808036237955,0.0,0.702,0.298,0.1779,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
"i heard that the u.s. government is sending $1,000 checks",misinformation,covid,cdl,covid_19_rumor,"hear u.s government send $ 1,000 check",0.0610441863536834,0.0011265382636338,0.0100664217025041,0.3518718183040619,0.0690691918134689,0.0038558628875762,0.5029659867286682,0.0,1.0,0.0,0.0,0.4,0.0,0.2,1,0,1,0.0,0.4,0.0
only those over 60 years of age and those with existing health problems are at risk from the coronavirus,misinformation,covid,cdl,covid_19_rumor,60 year age exist health problem risk coronavirus,0.34474778175354,0.0083872396498918,0.0110084069892764,0.0151709420606493,0.0894220024347305,0.5252826809883118,0.0059809223748743,0.22,0.78,0.0,-0.5859,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
president trump is going to announce a mandatory two-week quarantine for the whole country is going viral,misinformation,covid,cdl,covid_19_rumor,president trump go announce mandatory week quarantine country go viral,0.4735161662101745,0.0097054922953248,0.0289338435977697,0.1152528896927833,0.0462338589131832,0.306783527135849,0.0195741634815931,0.0,0.925,0.075,0.0772,0.8,0.0,0.2,1,0,1,0.0,0.8,0.0
"the administration has barred people from high-risk countries from traveling to the united states. the director of the national institute of allergy and infectious diseases, dr. anthony s. fauci, also told americans to “hunker down.”",misinformation,covid,cdl,covid_19_rumor,administration bar people high risk country travel united states director national institute allergy infectious disease dr anthony s. fauci tell americans hunker,0.1282607614994049,0.0214246660470962,0.1330771893262863,0.0029307135846465,0.3646765053272247,0.3419532775878906,0.007676946464926,0.0,0.924,0.076,0.4215,0.3,0.2,0.7,1,1,1,0.2857138775516035,0.3,0.2
"the u.s. government is sending out hundreds of dollars per week to each u.s. citizen “starting from” either march 16 or march 17, depending on the post",misinformation,covid,cdl,covid_19_rumor,u.s government send hundred dollar week u.s citizen start march 16 march 17 depend post,0.8782992362976074,0.0026821147184818,0.0154305743053555,0.0733494162559509,0.0166155993938446,0.0034497312735766,0.0101733561605215,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0,0,1,0.0,0.0,0.0
"the u.s. government have announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the covid-19 coronavirus starting from march 6, 2020.3.23",misinformation,covid,cdl,covid_19_rumor,u.s government announce measure workplace 10 employee pay mandatory leave avoid spread covid-19 coronavirus start march 6 2020.3.23,0.5001800060272217,0.0039767692796885,0.0703388974070549,0.034443411976099,0.1085790172219276,0.195452019572258,0.0870298445224762,0.098,0.865,0.037,-0.2732,0.4,0.0,0.3,1,0,1,0.0,0.4,0.0
all schools are to close for 2 weeks also from march 6th … offices will resume after 2 weeks of the mandatory closure. a list of all schools and businesses in your area is shown on the list,misinformation,covid,cdl,covid_19_rumor,school close 2 week march 6th office resume 2 week mandatory closure list school business area show list,0.0614039562642574,0.0026438266504555,0.0063131120987236,0.0533034987747669,0.8662360906600952,0.0057210740633308,0.0043784105218946,0.0,0.966,0.034,0.0772,0.2,0.0,0.1,1,0,1,0.0,0.2,0.0
remdesivir has been approved for consumer use,misinformation,covid,cdl,covid_19_rumor,remdesivir approve consumer use,0.7328319549560547,0.0022633869666606,0.0097596226260066,0.0475006215274333,0.0092402603477239,0.0030873082578182,0.1953168213367462,0.0,0.682,0.318,0.4215,0.8,0.0,0.0,1,0,0,0.0,0.8,0.0
"nancy pelosi wouldn’t release 8.5 billion for coronavirus without abortion funding, so trump went around her to declare a national emergency and got 50 billion",misinformation,covid,cdl,covid_19_rumor,nancy pelosi release 8.5 billion coronavirus abortion funding trump go declare national emergency get 50 billion,0.872534453868866,0.0025608893483877,0.0191570967435836,0.0225131008774042,0.046073067933321,0.0311917848885059,0.0059695718809962,0.098,0.902,0.0,-0.3818,0.4,0.3,0.6,1,1,1,0.4999991666680555,0.4,0.3
as the white house and congress work on a massive stimulus package to address the novel coronavirus pandemic — which could result in payments to individual taxpayers — social media users suggests such aid could be withheld from critics of president donald trump,misinformation,covid,cdl,covid_19_rumor,white house congress work massive stimulus package address novel coronavirus pandemic result payment individual taxpayer social medium user suggest aid withhold critic president donald trump,0.0414826534688472,0.0082676755264401,0.6732678413391113,0.0100668519735336,0.1933075040578842,0.0717585086822509,0.0018490212969481,0.048,0.901,0.051,0.0258,0.2,0.0,0.6,1,0,1,0.0,0.2,0.0
"viral posts on social media claim covid-19 is no worse than other outbreaks that have occurred in “every election year,” suggesting that the new coronavirus is being “hyped” to hurt president donald trump",misinformation,covid,cdl,covid_19_rumor,viral post social medium claim covid-19 bad outbreak occur election year suggest new coronavirus hype hurt president donald trump,0.0262368395924568,0.5868791341781616,0.3264728188514709,0.0030348363798111,0.0135553255677223,0.042069561779499,0.0017514214850962,0.092,0.839,0.069,-0.2134,0.4,0.1,0.6,1,1,1,0.1666663888893518,0.4,0.1
every election year has a disease: sars-2004 avian-2008 swine-2010 mers-2012 ebola-2014 zika-2016 ebola-2018 corona-2020,misinformation,covid,cdl,covid_19_rumor,election year disease sars-2004 avian-2008 swine-2010 mers-2012 ebola-2014 zika-2016 ebola-2018 corona-2020,0.4467367231845855,0.0070209801197052,0.0180573537945747,0.1959833353757858,0.2458073049783706,0.0431226789951324,0.0432715825736522,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0,0,1,0.0,0.0,0.0
president donald trump and other officials misleadingly suggested that tech behemoth google was working on a screening website that large numbers of americans could soon use to see if they should be tested for the new coronavirus,misinformation,covid,cdl,covid_19_rumor,president donald trump official misleadingly suggest tech behemoth google work screening website large number americans soon use test new coronavirus,0.6363943219184875,0.0057452651672065,0.0544665679335594,0.1519654393196106,0.0194358695298433,0.1099475920200347,0.0220449659973382,0.0,1.0,0.0,0.0,0.6,0.0,0.4,1,0,1,0.0,0.6,0.0
"google is helping to develop a website. it’s going to be very quickly done, unlike websites of the past, to determine whether a test is warranted and to facilitate testing at a nearby convenient location. we have many, many locations behind us, by the way. we cover the — this country in large part. so the world, by the way — we’re not going to be talking about the world right now. but we cover very, very strongly our country. stores in virtually every location. google has 1,700 engineers working on this right now. they’ve made tremendous progress. our overriding goal is to stop the spread of the virus and to help all americans who have been impacted by this",misinformation,covid,cdl,covid_19_rumor,"google help develop website go quickly unlike website past determine test warrant facilitate testing nearby convenient location location way cover country large world way go talk world right cover strongly country store virtually location google 1,700 engineer work right tremendous progress override goal stop spread virus help americans impact",0.9107363820075988,0.0018470766954123,0.0062594348564744,0.0333682298660278,0.0052582751959562,0.004991085268557,0.037539467215538,0.021,0.881,0.098,0.8749,0.3,0.2,0.7,1,1,1,0.2857138775516035,0.3,0.2
"before it reaches the lungs, the coronavirus remains in the throat for four days and that drinking a lot of water and gargling with warm water & salt or vinegar eliminates the virus",misinformation,covid,cdl,covid_19_rumor,reach lung coronavirus remain throat day drink lot water gargle warm water salt vinegar eliminate virus,0.549191415309906,0.3495611846446991,0.0187240801751613,0.0072802123613655,0.0384475886821746,0.0243348013609647,0.012460745871067,0.0,0.909,0.091,0.2732,0.6,0.2,0.4,1,1,1,0.499998750003125,0.6,0.2
"americans are to stock up on two weeks of supplies, and a mandatory nationwide quarantine will soon be implemented in response to the covid-19 pandemic",misinformation,covid,cdl,covid_19_rumor,americans stock week supply mandatory nationwide quarantine soon implement response covid-19 pandemic,0.8203664422035217,0.0028855493292212,0.0123430015519261,0.0225163158029317,0.0221222024410963,0.1066801995038986,0.0130863469094038,0.0,0.949,0.051,0.0772,0.9,0.3,0.2,1,1,1,1.4999925000374996,0.9,0.3
within 48 to 72 hours… the president will order a two week mandatory quarantine for the nation. stock up on whatever you guys need to make sure you have a two week supply of everything. please forward to your network,misinformation,covid,cdl,covid_19_rumor,48 72 hour president order week mandatory quarantine nation stock guy need sure week supply forward network,0.7610224485397339,0.0055069350637495,0.0147824911400675,0.069411888718605,0.1067520827054977,0.0341764092445373,0.0083478325977921,0.0,0.862,0.138,0.5994,0.8,0.0,0.4,1,0,1,0.0,0.8,0.0
"“a friend just alerted me that her friend who works in the emergency management team at the nypd plans to put containment actions in place this weekend,” it reads. “it will look like the metro north shutting down, limited subway service, and only emergency vehicles on the road.”",misinformation,covid,cdl,covid_19_rumor,friend alert friend work emergency management team nypd plan containment action place weekend read look like metro north shut limited subway service emergency vehicle road,0.6647534370422363,0.0082562053576111,0.0207159779965877,0.1351444721221923,0.143341064453125,0.0235331002622842,0.0042557483538985,0.122,0.724,0.153,0.4215,0.9,0.0,0.3,1,0,1,0.0,0.9,0.0
"california is going to be quarantined. “state borders are closing because of the number of cases in ca,” it reads. “businesses will close and we will only be able to move about for certain things not sure what.”",misinformation,covid,cdl,covid_19_rumor,california go quarantine state border close number case read business close able certain thing sure,0.6998106837272644,0.0189000964164733,0.0209823790937662,0.0276174694299697,0.1839653849601745,0.0460411198437213,0.0026829116977751,0.049,0.867,0.084,0.1124,0.8,0.0,0.5,1,0,1,0.0,0.8,0.0
"""from a friend at the stanford hospital board. this is their feedback on corona virus: the new coronavirus may not show sign of infection for many days. how can one know if he/she is infected? by the time they have fever and/or cough and go to the hospital, the lung is usually 50% fibrosis and it's too late...taiwan experts provide a simple self-check that we can do every morning. take a deep breath and hold your breath for more than 10 seconds. if you complete it successfully without coughing, without discomfort, stiffness or tightness, etc., it proves there is no fibrosis in the lungs, basically indicates no infection. in critical time, please self-check every morning in an environment with clean air",misinformation,covid,cdl,covid_19_rumor,friend stanford hospital board feedback corona virus new coronavirus sign infection day know infect time fever and/or cough hospital lung usually 50 fibrosis late taiwan expert provide simple self check morning deep breath hold breath 10 second complete successfully cough discomfort stiffness tightness etc prove fibrosis lung basically indicate infection critical time self check morning environment clean air,0.7621402144432068,0.0097013786435127,0.0280224196612834,0.0788639411330223,0.0493875332176685,0.0608501844108104,0.0110343443229794,0.088,0.828,0.084,0.1316,0.7,0.2,0.6,1,1,1,0.3333327777787037,0.7,0.2
"serious excellent advice by japanese doctors treating covid-19 cases: everyone should ensure your mouth & throat are moist, never dry. take a few sips of water every 15 minutes at least. why? even if the virus gets into your mouth, drinking water or other liquids will wash them down through your throat and into the stomach. once there, your stomach acid will kill all the virus. if you don’t drink enough water more regularly, the virus can enter your windpipe and into the lungs. that's very dangerous. please send and share this with family and friends. take care everyone and may the world recover from this coronavirus soon. please forward to your kids and friends",misinformation,covid,cdl,covid_19_rumor,excellent advice japanese doctor treat covid-19 case ensure mouth throat moist dry sip water 15 minute virus get mouth drink water liquid wash throat stomach stomach acid kill virus drink water regularly virus enter windpipe lung dangerous send share family friend care world recover coronavirus soon forward kid friend,0.2790916860103607,0.0330838412046432,0.2119925022125244,0.0135022606700658,0.1146662011742591,0.3378494679927826,0.0098140286281704,0.069,0.764,0.167,0.9078,0.9,0.0,0.6,1,0,1,0.0,0.9,0.0
"if you have a runny nose and sputum, you have a common cold. coronavirus pneumonia is a dry cough with no runny nose",misinformation,covid,cdl,covid_19_rumor,runny nose sputum common cold coronavirus pneumonia dry cough runny nose,0.2134126871824264,0.0355248749256134,0.173083558678627,0.0254393517971038,0.3680693805217743,0.1801901012659073,0.004280038177967,0.091,0.909,0.0,-0.296,0.0,0.3,0.7,0,1,1,0.4285708163274052,0.0,0.3
drinking warm water is effective for all viruses. try not to drink liquids with ice,misinformation,covid,cdl,covid_19_rumor,drink warm water effective virus try drink liquid ice,0.8484379053115845,0.0155106550082564,0.029017636552453,0.0049220416694879,0.0597032308578491,0.0121695417910814,0.0302389692515134,0.0,0.722,0.278,0.6124,0.1,0.0,0.4,1,0,1,0.0,0.1,0.0
